Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,PRICE_DATE,PRICE_TYPE,BASE_CURRENCY,PRICE_CURRENCY,FX_RATE
,,,,,,,,,2024-03-08 00:00:00.000,Fixing 16h,EUR,CHF,0.95945
,,,,,,,,,2024-03-07 00:00:00.000,Fixing 16h,EUR,CHF,0.9608
,,,,,,,,,2024-03-06 00:00:00.000,Fixing 16h,EUR,CHF,0.9618
,,,,,,,,,2024-03-05 00:00:00.000,Fixing 16h,EUR,CHF,0.9597
,,,,,,,,,2024-03-04 00:00:00.000,Fixing 16h,EUR,CHF,0.96115
,,,,,,,,,2024-03-01 00:00:00.000,Fixing 16h,EUR,CHF,0.959
,,,,,,,,,2024-02-29 00:00:00.000,Fixing 16h,EUR,CHF,0.9529
,,,,,,,,,2024-02-28 00:00:00.000,Fixing 16h,EUR,CHF,0.9535
,,,,,,,,,2024-02-27 00:00:00.000,Fixing 16h,EUR,CHF,0.95385
,,,,,,,,,2024-02-26 00:00:00.000,Fixing 16h,EUR,CHF,0.9555
,,,,,,,,,2024-02-23 00:00:00.000,Fixing 16h,EUR,CHF,0.9534
,,,,,,,,,2024-02-22 00:00:00.000,Fixing 16h,EUR,CHF,0.95345
,,,,,,,,,2024-02-21 00:00:00.000,Fixing 16h,EUR,CHF,0.9518
,,,,,,,,,2024-02-20 00:00:00.000,Fixing 16h,EUR,CHF,0.9525
,,,,,,,,,2024-02-19 00:00:00.000,Fixing 16h,EUR,CHF,0.94975
,,,,,,,,,2024-02-16 00:00:00.000,Fixing 16h,EUR,CHF,0.9487
,,,,,,,,,2024-02-15 00:00:00.000,Fixing 16h,EUR,CHF,0.94745
,,,,,,,,,2024-02-14 00:00:00.000,Fixing 16h,EUR,CHF,0.95025
,,,,,,,,,2024-02-13 00:00:00.000,Fixing 16h,EUR,CHF,0.95005
,,,,,,,,,2024-02-12 00:00:00.000,Fixing 16h,EUR,CHF,0.9435
,,,,,,,,,2024-02-09 00:00:00.000,Fixing 16h,EUR,CHF,0.94385
,,,,,,,,,2024-02-08 00:00:00.000,Fixing 16h,EUR,CHF,0.94125
,,,,,,,,,2024-02-07 00:00:00.000,Fixing 16h,EUR,CHF,0.93785
,,,,,,,,,2024-02-06 00:00:00.000,Fixing 16h,EUR,CHF,0.93525
,,,,,,,,,2024-02-05 00:00:00.000,Fixing 16h,EUR,CHF,0.9348
,,,,,,,,,2024-02-02 00:00:00.000,Fixing 16h,EUR,CHF,0.935
,,,,,,,,,2024-02-01 00:00:00.000,Fixing 16h,EUR,CHF,0.93295
,,,,,,,,,2024-01-31 00:00:00.000,Fixing 16h,EUR,CHF,0.9318
,,,,,,,,,2024-01-30 00:00:00.000,Fixing 16h,EUR,CHF,0.9356
,,,,,,,,,2024-01-29 00:00:00.000,Fixing 16h,EUR,CHF,0.93275
,,,,,,,,,2024-01-26 00:00:00.000,Fixing 16h,EUR,CHF,0.93765
,,,,,,,,,2024-01-25 00:00:00.000,Fixing 16h,EUR,CHF,0.94
,,,,,,,,,2024-01-24 00:00:00.000,Fixing 16h,EUR,CHF,0.9412
,,,,,,,,,2024-01-23 00:00:00.000,Fixing 16h,EUR,CHF,0.944
,,,,,,,,,2024-01-22 00:00:00.000,Fixing 16h,EUR,CHF,0.9463
,,,,,,,,,2024-01-19 00:00:00.000,Fixing 16h,EUR,CHF,0.9456
,,,,,,,,,2024-01-18 00:00:00.000,Fixing 16h,EUR,CHF,0.94305
,,,,,,,,,2024-01-17 00:00:00.000,Fixing 16h,EUR,CHF,0.9419
,,,,,,,,,2024-01-16 00:00:00.000,Fixing 16h,EUR,CHF,0.93535
,,,,,,,,,2024-01-15 00:00:00.000,Fixing 16h,EUR,CHF,0.9363
,,,,,,,,,2024-01-12 00:00:00.000,Fixing 16h,EUR,CHF,0.9331
,,,,,,,,,2024-01-11 00:00:00.000,Fixing 16h,EUR,CHF,0.936
,,,,,,,,,2024-01-10 00:00:00.000,Fixing 16h,EUR,CHF,0.9338
,,,,,,,,,2024-01-09 00:00:00.000,Fixing 16h,EUR,CHF,0.93045
,,,,,,,,,2024-01-08 00:00:00.000,Fixing 16h,EUR,CHF,0.9286
,,,,,,,,,2024-01-05 00:00:00.000,Fixing 16h,EUR,CHF,0.9303
,,,,,,,,,2024-01-04 00:00:00.000,Fixing 16h,EUR,CHF,0.93095
,,,,,,,,,2024-01-03 00:00:00.000,Fixing 16h,EUR,CHF,0.92975
,,,,,,,,,2024-01-02 00:00:00.000,Fixing 16h,EUR,CHF,0.9287
,,,,,,,,,2024-01-01 00:00:00.000,Fixing 16h,EUR,CHF,0.92972867
,,,,,,,,,2023-12-31 00:00:00.000,Fixing 16h,EUR,CHF,0.9297
,,,,,,,,,2023-12-29 00:00:00.000,Fixing 16h,EUR,CHF,0.9297
,,,,,,,,,2023-12-28 00:00:00.000,Fixing 16h,EUR,CHF,0.9288
,,,,,,,,,2023-12-27 00:00:00.000,Fixing 16h,EUR,CHF,0.93935
,,,,,,,,,2023-12-26 00:00:00.000,Fixing 16h,EUR,CHF,0.94315
,,,,,,,,,2023-12-25 00:00:00.000,Fixing 16h,EUR,CHF,0.9422
,,,,,,,,,2023-12-22 00:00:00.000,Fixing 16h,EUR,CHF,0.9422
,,,,,,,,,2023-12-21 00:00:00.000,Fixing 16h,EUR,CHF,0.9417
,,,,,,,,,2023-12-20 00:00:00.000,Fixing 16h,EUR,CHF,0.945
,,,,,,,,,2023-12-19 00:00:00.000,Fixing 16h,EUR,CHF,0.9446
,,,,,,,,,2023-12-18 00:00:00.000,Fixing 16h,EUR,CHF,0.9473
,,,,,,,,,2023-12-15 00:00:00.000,Fixing 16h,EUR,CHF,0.9462
,,,,,,,,,2023-12-14 00:00:00.000,Fixing 16h,EUR,CHF,0.9522
,,,,,,,,,2023-12-13 00:00:00.000,Fixing 16h,EUR,CHF,0.94565
