Bloomberg Code,Quote Date,Quote Close,Currency
USGG10YR Index,2020-08-28,0.7211,USD
USGG10YR Index,2020-08-31,0.7048,USD
USGG10YR Index,2020-09-01,0.6689,USD
USGG10YR Index,2020-09-02,0.6477,USD
USGG10YR Index,2020-09-03,0.6347,USD
USGG10YR Index,2020-09-04,0.718,USD
USGG10YR Index,2020-09-07,0.718,USD
USGG10YR Index,2020-09-08,0.6788,USD
USGG10YR Index,2020-09-09,0.7001,USD
USGG10YR Index,2020-09-10,0.6772,USD
USGG10YR Index,2020-09-11,0.6658,USD
USGG10YR Index,2020-09-14,0.6723,USD
USGG10YR Index,2020-09-15,0.6789,USD
USGG10YR Index,2020-09-16,0.6969,USD
USGG10YR Index,2020-09-17,0.6887,USD
USGG10YR Index,2020-09-18,0.6937,USD
USGG10YR Index,2020-09-21,0.6658,USD
USGG10YR Index,2020-09-22,0.6708,USD
USGG10YR Index,2020-09-23,0.6724,USD
USGG10YR Index,2020-09-24,0.6659,USD
USGG10YR Index,2020-09-25,0.6544,USD
USGG10YR Index,2020-09-28,0.6528,USD
USGG10YR Index,2020-09-29,0.6495,USD
USGG10YR Index,2020-09-30,0.684,USD
USGG10YR Index,2020-10-01,0.6774,USD
USGG10YR Index,2020-10-02,0.7005,USD
USGG10YR Index,2020-10-05,0.7817,USD
USGG10YR Index,2020-10-06,0.7353,USD
USGG10YR Index,2020-10-07,0.7868,USD
USGG10YR Index,2020-10-08,0.7852,USD
USGG10YR Index,2020-10-09,0.7737,USD
USGG10YR Index,2020-10-12,0.7737,USD
USGG10YR Index,2020-10-13,0.7272,USD
USGG10YR Index,2020-10-14,0.7256,USD
USGG10YR Index,2020-10-15,0.7322,USD
USGG10YR Index,2020-10-16,0.7456,USD
USGG10YR Index,2020-10-19,0.769,USD
USGG10YR Index,2020-10-20,0.7857,USD
USGG10YR Index,2020-10-21,0.8226,USD
USGG10YR Index,2020-10-22,0.8562,USD
USGG10YR Index,2020-10-23,0.8429,USD
USGG10YR Index,2020-10-26,0.801,USD
USGG10YR Index,2020-10-27,0.7676,USD
USGG10YR Index,2020-10-28,0.771,USD
USGG10YR Index,2020-10-29,0.823,USD
USGG10YR Index,2020-10-30,0.8737,USD
USGG10YR Index,2020-11-02,0.8434,USD
USGG10YR Index,2020-11-03,0.8993,USD
USGG10YR Index,2020-11-04,0.7629,USD
USGG10YR Index,2020-11-05,0.7629,USD
